,Month,Company/Brand,Founded,Headquarters,Sector,What it does,Founder/s,Investor/s,Amount,Stage
547,August,Khabri,2017,Gurugram,Media,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit Sharma, Aankit Roy, Sandeep Singh",,2000000,Pre-series A
548,August,Celcius,2020,Mumbai,Logistics,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Swarup Bose,"Mumbai Angels Network, Huddle, Lumis Partners",500000,
551,August,Rocket Skills,2020,Gurugram,EdTech,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Vibhu Bahuguna, Mohit Jain","Better Capital, First Cheque, Titan Capital",200000,Pre-seed
552,August,RenewBuy,2015,Gurugram,FinTech,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Balachander Sekhar,Evolvence Capital,10000000,Series C
553,August,Faarms,2020,Bangalore,AgriTech,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal",,2000000,Seed
554,August,UrbanMatrix Technologies,2019,Chennai,Drone,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,100000,
555,August,Jupiter,2019,Mumbai,Banking,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra Gupta,"Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India",44000000,Series B
556,August,Pixuate,2012,Bangalore,DeepTech,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.","Akshata Kari, Prathvi Palekar",SucSEED Indovation Fund,1000000,Seed
557,August,Playo,2014,Bangalore,SportsTech,Playo is a one stop destination app for all things sports,Daanish Suhail,ah! Ventures High Tables,500000,Pre-series A
558,August,Toothsi,2018,Mumbai,Health,India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",20000000,Series B
559,August,Soothe Healthcare,2012,New Delhi,Consumer Goods,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Sahil Dharia,A91 Partners,10000000,Series C
560,August,Goodmeetings,2020,Bangalore,Computer software,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,Chiratae Ventures,1700000,Series A
561,August,Apnaklub,2020,Bangalore,Wholesale,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,"Shruti, Manish Kumar",Sequoia’s Surge,3500000,Seed
562,August,ChefKart,2020,Gurugram,Consumer Goods,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures",300000,Pre-seed
563,August,Fashinza,2020,Gurugram,Apparel & Fashion,A new-age supply chain and product development platform for the fashion industry.,"Pawan Gupta, Abhishek Sharma","Accel Partners, Elevation Capital",20000000,Series A
565,August,QuickShift,2016,Pune,Logistics & Supply Chain,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Anshul Goenka,"Anicut Angel Fund, Axilor Ventures",770000,Seed
566,August,StackBOX,2016,Bangalore,Logistics & Supply Chain,DISTRIBUTION SIMPLIFIED,"Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group",1200000,
568,August,infra.market,2016,Thane,Construction,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,"Souvik Sengupta, Aaditya Sharda",Tiger Global,125000000,Series D
569,July,SP Robotic Works,2012,Chennai,EdTech,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000,Series A
570,July,3SC,2018,Gurugram,Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,15000000,Series B
571,July,Chai Waale,2018,Chennai,Food & Beverages,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000,
572,July,Minimalist,2020,Jaipur,Cosmetics,Affordable skincare for all,"Mohit, Rahul Yadav",Sequoia Capital,10000000,Series A
573,July,Biconomy,2019,New Delhi,Blockchain,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,"Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM",9000000,
574,July,Fixcraft,2018,Gurugram,Automotive,India's Most Trusted Automotive Repair Brand,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",,1000000,Pre-series A
575,July,Slice,2016,Bangalore,Financial Services,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",10000000,
576,July,90+ My Tuition App,2015,Bangalore,EdTech,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Vingish Vijay,Pearl Investment LLC,5000000,Series A
577,July,Wasabi,2021,Bangalore,Consulting,Help small businesses grow their sales via our customer interaction and growth platform.,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",1800000,Seed
578,July,Strata,2019,Bangalore,Real Estate,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",6000000,Series A
579,July,Ourbetterplanet,2020,Bangalore,E-commerce,A curated online marketplace for all things sustainable!,Pallavi Srivastava,VANS Group,300000,Seed
580,July,Murf.ai,2020,Bangalore,SaaS startup,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,1500000,Seed
581,July,JetSynthesys,2014,Pune,Media,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",Rajan navani,Sachin Tendulkar,2000000,
582,July,MYFITNESS,2019,Silvassa,Fitness,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad Patel, Rahil Virani",9Unicorns,1000000,Seed
583,July,I am Love,2020,Mumbai,Healthcare,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,4000000,Seed
584,July,MyGlamm,2015,Mumbai,D2C,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,"Darpan Sanghvi, Priyanka Gill",Accel Partners,40000000,
585,July,Gumlet,2019,Bangalore,IT,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,1600000,
586,July,Eloelo,2015,Bangalore,Gaming,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",2000000,Pre-series A
587,July,Edukemy,2020,Noida,EdTech,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",Chandrahas Panigrahi,"Auxano, Falcon5",2000000,Pre-series A
588,July,Zingbus,2019,Gurugram,Mobility,Zingbus is a renowned brand in the bus operating industry.,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,5000000,Pre-series A
589,July,NewsReach,2018,Ahmedabad,Media,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,"Soniya Kundnani, Darshan Shah",JITO Angel Network,300000,Seed
590,July,Pencilton,2017,Hyderabad,FinTech,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.","VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,330000,Pre-seed
591,July,Bandhoo,2020,Gurugram,IT,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers","Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000,
592,July,ixigo,2007,Gurugram,IT,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","Rajnish Kumar, Aloke Bajpai","GIC, Infoedge",53000000,
593,July,The Whole Truth,2019,Mumbai,Food & Beverages,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Shashank Mehta,Sequoia Capital,6000000,Series A
594,July,Insane AI,2021,Bangalore,Fitness,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,800000,Seed
596,July,Droom,2014,Gurugram,Automobile,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",Sandeep Aggarwal,,200000000,
597,July,Skymet,2003,Noida,Environmental Services,Provide services that allow clients to understand and organize themselves around changing environment.,Yogesh Patil,"Northern Arc, Caspian Impact Investments",1000000,
598,July,Go Swift,2019,Bangalore,Consumer Services,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,2000000,Pre-series A
599,July,Mamaearth,2016,Gurugram,Healthcare,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,50000000,
600,July,G.O.A.T,2021,Bangalore,D2C,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",36000000,Series A
602,July,ReDesyn,2016,Mumbai,Merchandise,"Merchandise drop-shipping platform for influencers, designers, creators & brands.","Smriti Dubey, Shikhar Vaidya",Anthill Ventures,300000,Pre-series A
603,July,Inspacco,2019,Pune,Facilities Services,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services","Sanket Nerkar, Paresh Kotkar",,200000,
604,July,Knorish,2016,Gurugram,EdTech,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",1000000,Pre-series A
605,July,Dozee,2015,Bangalore,Healthcare,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.","Mudit Dandwate, Dandwate",Prime VP,5000000,Series A
606,July,BlackBuck,2015,Bangalore,Logistics & Supply Chain,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",67000000,Series E
607,July,Mailmodo,2020,Bangalore,Marketing & Advertising,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator",2000000,Seed
609,July,NirogStreet,2018,New Delhi,Healthcare,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2500000,Series A
612,July,Even,2020,Bangalore,Healthcare,One monthly subscription to cover all your healthcare needs.,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,5000000,Seed
613,July,Captain Fresh,2019,Bangalore,Logistics,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Accel Partners, Matrix India",12000000,Series A
614,July,Otipy,2020,Gurugram,Food & Beverages,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,Varun Khurana,"Omidyar Network India, Innoven Capital",10200000,Series A
615,July,Lenskart,2008,Faridabad,Eyewear,India's fastest growing eyewear company and largest eyewear company online.,Peyush Bansal,"Temasek, Falcon Edge",220000000,
616,July,Eka.care,2020,Bangalore,Healthcare,A digitally enabled and connected healthcare ecosystem for better health outcomes.,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000,
617,July,Braingroom,2015,Chennai,EdTech,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.","Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",200000,
618,July,Edvizo,2017,Bangalore,Consumer Services,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Ravi Nishant,Inflection Point Ventures,1000000,Pre-series A
619,July,Credenc,2017,New Delhi,FinTech,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Avinash Kumar,Capital India,25000000,
620,July,GlobalBees,2021,New Delhi,D2C Business,Globalbees partners with entrepreneurs who have built an online-first business. Our team scales up D2C businesses in India and abroad.,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",150000000,Series A
621,July,Spinny,2015,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,108000000,Series D
622,July,Mynvax,2017,Bangalore,Biotechnology,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",4000000,Series A
623,July,RiseBird,2018,Pune,Human Resources,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,Ashutosh Seth,SAB Holdings,500000,
624,July,Uvi Health,2020,Bangalore,Healthcare,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Mehak Malik,Titan Capital,330000,Pre-seed
625,July,Vegrow,2020,Bangalore,Farming,Vegrow is in the business of fresh fruits & vegetables with addressable market size of 43 Billion.,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital",13000000,
626,July,Automovill,2015,Bangalore,Automotive,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.","Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,500000,
628,July,HealthifyMe,2012,Bangalore,Healthcare,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures",75000000,Series C
629,July,GalaxyCard,2017,Gurugram,FinTech,GalaxyCard is a mobile based Instant Credit Card.,Amit Kumar,JITO Angel Network,450000,
630,July,Bella Vita Organic,2018,Gurugram,Healthcare,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,Aakash Anand,Ananta Capital,10000000,
631,July,SmartCoin,2016,Bangalore,FinTech,India's Most Preferred Instant Loan App,"Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital",10000000,
633,July,MYSUN,2016,New Delhi,Solar,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",Gagan Vermani,TATA Cleantech Capital,2000000,
634,July,Sea6 Energy,2010,Bangalore,Biotechnology,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.","Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,9000000,Series B
635,July,Beco,2018,Mumbai,Consumer Goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.","Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,500000,Seed
636,July,OneCode,2020,Bangalore,Internet,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services","Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners",5000000,
637,July,MedPay,2020,Bangalore,Information Technology,MedPay® is building the real-time claims adjudication platform for health insurers.,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",1200000,Seed
638,July,Inshorts,2013,Noida,Internet,Built Inshorts with a promise to deliver news,Azhar Iqubal,Vy Capital,60000000,
639,July,Digantara,2018,Bangalore,SpaceTech,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage","Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,2500000,Seed
640,July,Aqgromalin,2018,Chennai,AgriTech,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,700000,Seed
641,July,Square Yards,2014,Gurugram,Real Estate,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,Tanuj Shori,ADM Capital,25000000,
642,July,OYO,2013,Gurugram,Hospitality,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,Ritesh Agarwal,"SoftBank Vision Fund, Hindustan Media Venture",660000000,
645,July,Ola Electric,2017,Bangalore,Automotive,Ola Electric - The future of mobility is here.  Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,Bank of Baroda,100000000,Debt
646,July,Bikry app,2019,Noida,Consumer software,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",Abhishek Bhayana,YCombinator,1300000,
647,July,Oliveboard,2012,Bangalore,EdTech,Oliveboard is the top exam preparation platform for Banking & Government Exams.,"Abhishek Patil, V Satish Kumar",IAN Fund,3000000,
649,July,Trell,2016,Bangalore,Social commerce,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Mirae Asset, H&M",45000000,Series B
650,July,Kredent,2008,Kolkata,EdTech,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities,1000000,
651,July,EasyAspataal,2020,Mumbai,Healthcare,India’s First Digital Admission Desk for Hospitalisation.,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,500000,Seed
653,July,Pankhuri,2019,Bangalore,Social community,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",Pankhuri Shrivastava,Sequoia’s Surge,3200000,
654,July,Arcana,2019,Bangalore,Information Technology,Arcana is the Storage Layer of Ethereum.,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,370000,Seed
657,July,Aquaconnect,2017,Chennai,Fishery,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,Rajamanohar,"Rebright Partners, Flourish Ventures",4000000,Pre-series A
658,July,Vah Vah!,2020,Bangalore,EdTech,A mission to educate India and make its young and dynamic population job ready.,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",Sequoia Surge,1800000,
659,July,LetsDressUp,2019,Gurugram,Apparel & Fashion,Building India's version of Stitch Fix,Aditya B,"Titan Capital, Sequoia Capital",300000,Pre-series A
660,July,Sapio Analytics,2019,Mumbai,Computer software,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,150000,
664,July,Pratilipi,2015,Bangalore,Online storytelling,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.",Ranjeet Pratap Singh,"Krafton Inc, Omidyar",48000000,
665,July,Ati Motors,2017,Bangalore,Automotive,Autonomous industrial vehicle maker,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",35000000,Pre-series A
666,July,peAR,2018,Mumbai,Deeptech,An AR / VR tech based Start-up in Mumbai.,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,300000,Pre-series A1
667,July,Gourmet Garden,2019,Bangalore,Farming,"100% contamination free, pesticide free naturoponically grown vegetables.",Arjun Balaji,"Beyond Next Ventures, M Venture Partners",3000000,
668,July,The Sleep Company,2019,Mumbai,Consumer Goods,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,,Fireside Ventures,1000000,Pre-series A
670,July,ION Energy,2016,Mumbai,Automotive,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,Akhil Aryan,,3600000,Pre-series A
671,July,Digit Insurance,2016,Bangalore,Insuretech,"Digit becomes the first Unicorn of 2021, valued at 1.9B.",Kamesh Goyal,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",200000000,
672,July,FRAAZO,2020,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES",11000000,Series A
673,July,Licious,2015,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE",192000000,Series F
674,July,WinZO,2018,New Delhi,Gaming,WinZO is the largest social gaming and entertainment platform in India.,Paavan Nanda,Griffin Gaming Partners,65000000,Series C
675,July,Furlenco,2012,Bangalore,Consumer Goods,Furlenco is a different furniture company.,Ajith Mohan Karimpana,Zinnia Global,100000000,
676,July,Skylark Drones,2014,Bangalore,Aviation,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund",3000000,Pre-series A
679,July,TWID,2020,Bangalore,FinTech,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions","Amit Sharma, Amit Koshal, Rishi Batra","BEENEXT, Sequoia’s Surge",2500000,
681,July,MyMobiForce,2018,Noida,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India","Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion,1400000,Pre-series A
682,July,Pine Labs,1998,Noida,Information Technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish Rau,"Fidelity, BlackRock",600000,
683,July,Genworks Health,2015,Bangalore,Healthcare,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,S Ganeshprasad,Blacksoil,2000000,
685,July,Neverinstall,2019,Bangalore,Information Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,"Lakshmana Pasala, Ram Pasala",Speciale Invest,370000,Seed
687,July,BeatO,2015,New Delhi,Healthcare,ULTIMATE app to manage chronic conditions.,Gautam Chopra,W Health Ventures,5000000,Pre-series B
688,July,Earth Rhythm,2020,Gurugram,Cosmetics,A mission to make customers healthier and Earth a little greener.,Harini Sivakumar,Anicut Angel Fund,1200000,Seed
689,July,Fountain9,2019,Mumbai,Computer software,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator",1900000,Seed
690,July,Rockclimber,2019,Bangalore,Food & Beverages,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma,1000000,
691,July,SpEd@home,2020,Mumbai,EdTech,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",Dhaval Mody,,300000,
693,July,Green Soul,2016,Ambernath,Consumer Goods,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,Ravi Khushwani,https://velocity.in/,200000,
694,July,Shiprocket,2012,New Delhi,Logistics,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital",41000000,Series D1
695,July,DealShare,2018,Bangalore,Retail,The next generation disruptive (social) e-commerce product for the masses.,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,144000000,
696,July,Teachmint,2020,Bangalore,EdTech,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,20000000,Pre-series B
697,July,Vahak,2017,Bangalore,Transportation,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,"Vikas Chandrawat, Karan Shaha",RTP Global,5000000,Pre-series A
698,July,goSTOPS,2014,New Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"Pallavi Agarwal, Pankaj Parwanda","IAN, Yuj Ventures",1000000,Pre-series A
701,July,Powerplay,2020,Bangalore,Construction,Powerplay helps simplify end to end Construction and Architecture project management.,"Shubham Goyal, Lesh Dixit","Sequoia’s Surge, Accel Partners",5200000,
703,June,Delhivery,2011,Gurugram,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC",270000000,Series H
704,June,Avishkaar,2014,New Delhi,EdTech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,"Rajeev Gaba, Tarun Bhalla",Auxano,600000,Pre-series A
705,June,Jobsgaar,2020,New Delhi,Job discovery platform,India's first District level/ Hyper Local Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,140000,Seed
707,June,Breathe Well-being,2015,New Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000,Pre-series A
709,June,Good Health Clinic,2021,Hyderabad,HealthCare,Full Stack Digital Health Clinic,Samarth Sindhi,Khosla Ventures,5000000,
710,June,Urban Company,2014,New Delhi,Home services,Urban Company is an India-based company providing a marketplace for freelance labor.,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management",250000000,Series F
711,June,MYBYK,2014,Ahmadabad,Rental,MYBYK is an app that provides premium bicycle sharing and rental service.,Arjit Soni,Avon Cycles,1000000,Pre-series A
712,June,Locus,2015,Bangalore,Logistics,Locus is an intelligent decision-making and automation platform for logistics.,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",50000000,Series C
713,June,Crejo.Fun,2020,Bangalore,EdTech,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,"Matrix Partners India, 021 Capital",3000000,Seed
714,June,Bambinos,2020,Bangalore,EdTech,Cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",500000,Seed
715,June,KreditBee,2018,Bangalore,FinTech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity",8000000,
716,June,Spardha,2016,Pune,EdTech,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.","Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,400000,Pre-series A1
720,June,Holisol,2009,New Delhi,Logistics,HoliSol Logistics Is a Supply Chain Operations Company!,"Manish Ahuja, Naveen Rawat, Rahul Dogar","BlackSoil, CLSA Capital Partners",3000000,
721,June,Now&Me,2018,New Delhi,HealthCare,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Bani Singh, Drishti Gupta","Saama, Whiteboard Capital",1000000,
